Date,value
2019-01-01,0.0
2019-01-02,0.10295802953249053
2019-01-03,0.20561776069943413
2019-01-04,0.3079361860215137
2019-01-05,0.4098705497329243
2019-01-06,0.5113783653781253
2019-01-07,0.6124174332503516
2019-01-08,0.7129458576648441
2019-01-09,0.8129220640598469
2019-01-10,0.9123048159185124
2019-01-11,1.0110532315049412
2019-01-12,1.1091268004076895
2019-01-13,1.2064853998841694
2019-01-14,1.3030893109994668
2019-01-15,1.398899234553211
2019-01-16,1.4938763067882332
2019-01-17,1.5879821148748554
2019-01-18,1.6811787121647723
2019-01-19,1.7734286332085898
2019-01-20,1.8646949085312083
2019-01-21,1.9549410791593569
2019-01-22,2.044131210895685
2019-01-23,2.132229908333982
2019-01-24,2.2192023286101623
2019-01-25,2.305014194883836
2019-01-26,2.3896318095453655
2019-01-27,2.473022067143473
2019-01-28,2.5551524670285723
2019-01-29,2.6359911257071493
2019-01-30,2.7155067889026223
2019-01-31,2.793668843318295
2019-02-01,2.8704473280981007
2019-02-02,2.9458129459810167
2019-02-03,3.0197370741451466
2019-02-04,3.0921917747376177
2019-02-05,3.1631498050865887
2019-02-06,3.23258462759178
2019-02-07,3.300470419290149
2019-02-08,3.366782081093384
2019-02-09,3.431495246694134
2019-02-10,3.4945862911379826
2019-02-11,3.55603233905833
2019-02-12,3.615811272571524
2019-02-13,3.673901738829708
2019-02-14,3.7302831572290023
2019-02-15,3.7849357262708265
2019-02-16,3.8378404300742703
2019-02-17,3.8889790445376007
2019-02-18,3.9383341431471752
2019-02-19,3.9858891024321252
2019-02-20,4.031628107063371
2019-02-21,4.075536154595689
2019-02-22,4.117599059851666
2019-02-23,4.157803458946583
2019-02-24,4.196136812953381
2019-02-25,4.232587411207051
2019-02-26,4.267144374247926
2019-02-27,4.299797656403502
2019-02-28,4.330538048008607
2019-03-01,4.359357177263833
2019-03-02,4.3862475117323765
2019-03-03,4.411202359475476
2019-03-04,4.434215869826943
2019-03-05,4.4552830338072615
2019-03-06,4.474399684178042
2019-03-07,4.491562495137645
2019-03-08,4.506768981659013
2019-03-09,4.520017498470884
2019-03-10,4.53130723868368
2019-03-11,4.54063823206155
2019-03-12,4.548011342942177
2019-03-13,4.553428267806099
2019-03-14,4.556891532497457
2019-03-15,4.558404489098193
2019-03-16,4.557971312457925
2019-03-17,4.555596996381778
2019-03-18,4.551287349478701
2019-03-19,4.545048990672809
2019-03-20,4.536889344380559
2019-03-21,4.526816635356606
2019-03-22,4.514839883211349
2019-03-23,4.500968896603349
2019-03-24,4.4852142671098605
2019-03-25,4.467587362778887
2019-03-26,4.4481003213663435
2019-03-27,4.42676604326191
2019-03-28,4.403598184107415
2019-03-29,4.378611147111643
2019-03-30,4.351820075065573
2019-03-31,4.323240842062214
2019-04-01,4.292890044925274
2019-04-02,4.260784994351062
2019-04-03,4.2269437057680666
2019-04-04,4.19138488991885
2019-04-05,4.1541279431689215
2019-04-06,4.115192937547404
2019-04-07,4.074600610524404
2019-04-08,4.032372354530106
2019-04-09,3.988530206220658
2019-04-10,3.943096835496081
2019-04-11,3.8960955342754815
2019-04-12,3.847550205034958
2019-04-13,3.7974853491136553
2019-04-14,3.745926054793542
2019-04-15,3.692897985158535
2019-04-16,3.6384273657387034
2019-04-17,3.5825409719453303
2019-04-18,3.525266116302725
2019-04-19,3.466630635482703
2019-04-20,3.406662877147769
2019-04-21,3.3453916866090774
2019-04-22,3.2828463933052925
2019-04-23,3.2190567971085877
2019-04-24,3.1540531544640142
2019-04-25,3.087866164368575
2019-04-26,3.0205269541963666
2019-04-27,2.9520670653762187
2019-04-28,2.8825184389282867
2019-04-29,2.8119134008661173
2019-04-30,2.740284647470736
2019-05-01,2.6676652304433555
2019-05-02,2.5940885419433104
2019-05-03,2.5195882995179075
2019-05-04,2.4441985309308634
2019-05-05,2.3679535588960294
