Date,value
2009-01-05,0.0
2009-01-06,0.10295802953249053
2009-01-07,0.20561776069943413
2009-01-08,0.30793618602151374
2009-01-09,0.4098705497329243
2009-01-12,0.5113783653781253
2009-01-13,0.6124174332503516
2009-01-14,0.7129458576648441
2009-01-15,0.8129220640598469
2009-01-16,0.9123048159185125
2009-01-19,1.0110532315049412
2009-01-20,1.1091268004076895
2009-01-21,1.2064853998841694
2009-01-22,1.3030893109994668
2009-01-23,1.398899234553211
2009-01-27,1.4938763067882332
2009-01-28,1.5879821148748554
2009-01-29,1.6811787121647723
2009-01-30,1.7734286332085898
2009-02-02,1.8646949085312083
2009-02-03,1.9549410791593567
2009-02-04,2.0441312108956855
2009-02-05,2.132229908333982
2009-02-06,2.219202328610162
2009-02-09,2.305014194883836
2009-02-10,2.389631809545365
2009-02-11,2.473022067143473
2009-02-12,2.5551524670285723
2009-02-13,2.6359911257071493
2009-02-16,2.7155067889026223
2009-02-17,2.793668843318295
2009-02-18,2.8704473280981007
2009-02-19,2.9458129459810167
2009-02-20,3.019737074145146
2009-02-23,3.0921917747376177
2009-02-24,3.1631498050865887
2009-02-25,3.23258462759178
2009-02-26,3.300470419290149
2009-02-27,3.366782081093384
2009-03-02,3.431495246694134
2009-03-03,3.4945862911379826
2009-03-04,3.55603233905833
2009-03-05,3.6158112725715243
2009-03-06,3.6739017388297075
2009-03-10,3.730283157229002
2009-03-11,3.784935726270827
2009-03-12,3.8378404300742703
2009-03-13,3.8889790445376007
2009-03-16,3.9383341431471752
2009-03-17,3.985889102432125
2009-03-18,4.031628107063371
2009-03-19,4.075536154595689
2009-03-20,4.117599059851666
2009-03-23,4.157803458946583
2009-03-24,4.196136812953381
2009-03-25,4.232587411207051
2009-03-27,4.267144374247926
2009-03-30,4.299797656403502
2009-03-31,4.330538048008606
2009-04-01,4.359357177263833
2009-04-02,4.386247511732376
2009-04-03,4.411202359475477
2009-04-06,4.434215869826943
2009-04-07,4.4552830338072615
2009-04-08,4.474399684178042
2009-04-13,4.491562495137645
2009-04-14,4.506768981659013
2009-04-15,4.520017498470884
2009-04-16,4.53130723868368
2009-04-17,4.54063823206155
2009-04-20,4.548011342942177
2009-04-22,4.5534282678061
2009-04-23,4.556891532497457
2009-04-24,4.558404489098194
2009-04-27,4.557971312457925
2009-04-28,4.555596996381779
2009-04-29,4.551287349478701
2009-04-30,4.545048990672809
2009-05-01,4.536889344380559
2009-05-04,4.526816635356605
2009-05-05,4.514839883211349
2009-05-06,4.50096889660335
2009-05-07,4.48521426710986
2009-05-08,4.467587362778886
2009-05-11,4.448100321366344
2009-05-12,4.42676604326191
2009-05-13,4.403598184107415
2009-05-14,4.378611147111644
2009-05-15,4.351820075065573
2009-05-18,4.323240842062214
2009-05-19,4.292890044925274
2009-05-20,4.260784994351062
2009-05-22,4.226943705768066
2009-05-25,4.19138488991885
2009-05-26,4.1541279431689215
2009-05-27,4.115192937547403
2009-05-28,4.074600610524403
2009-05-29,4.032372354530106
2009-06-01,3.9885302062206582
2009-06-02,3.9430968354960805
2009-06-03,3.8960955342754815
2009-06-04,3.847550205034958
2009-06-05,3.7974853491136553
2009-06-08,3.745926054793542
2009-06-09,3.6928979851585346
2009-06-10,3.6384273657387025
2009-06-11,3.5825409719453303
2009-06-12,3.525266116302725
2009-06-15,3.466630635482703
2009-06-16,3.406662877147769
2009-06-17,3.3453916866090774
2009-06-18,3.2828463933052925
2009-06-19,3.2190567971085873
2009-06-22,3.1540531544640142
2009-06-23,3.087866164368575
2009-06-24,3.020526954196367
2009-06-25,2.9520670653762187
